anomaly_type,severity,purchase_number,category,metric,amount_rub,description
cancelled_procedure,medium,SBR028-2508130021.1,logistics_and_facilities,,10040550.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,85626200,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,12932838,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,105205796,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,110356403,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2505300037.1,other,,11373500.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,124813862,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,115475359,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,9493495,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,42406234,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2503130016.1,other,,1.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,121193162,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,112069909,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,89080559,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,126648473,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,16256900,logistics_and_facilities,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,17616195,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,104473376,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,105126837,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2412110032.1,construction_and_repair,,1339000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2412040041.1,other,,6832000.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,128778578,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,5054771,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,96924822,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,57962991,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,761449,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,50895681,construction_and_repair,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,38065891,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2410090004.1,other,,11165642.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,6671502,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,61130769,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,133514005,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2409090015.1,it_and_telecom,,5004650.15,Procedure status contains a cancellation signal.
cancelled_procedure,medium,31525920,other,,0.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2408150023.1,it_and_telecom,,,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2407030006.1,construction_and_repair,,1.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2406030029.1,other,,1522848.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2405200051.1,construction_and_repair,,1285797.5,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2404030013.1,other,,1.0,Procedure status contains a cancellation signal.
cancelled_procedure,medium,SBR028-2402210035.1,other,,7480000.0,Procedure status contains a cancellation signal.
